rowNumber,failure_type
446,No Failure
7076,No Failure
1191,No Failure
2618,No Failure
5067,No Failure
191,No Failure
2601,No Failure
3300,No Failure
6729,No Failure
4824,No Failure
6848,No Failure
1238,No Failure
199,No Failure
3703,No Failure
6984,No Failure
3601,No Failure
1737,No Failure
6992,No Failure
9921,No Failure
5593,No Failure
2910,No Failure
8041,No Failure
8525,No Failure
4475,No Failure
7611,No Failure
2405,No Failure
9048,No Failure
146,No Failure
2049,No Failure
2964,No Failure
8868,No Failure
9211,No Failure
8598,No Failure
1123,No Failure
3894,No Failure
5175,No Failure
2477,No Failure
5531,No Failure
7916,No Failure
5441,No Failure
5764,No Failure
3779,No Failure
8844,No Failure
4227,No Failure
7525,No Failure
3002,No Failure
6076,No Failure
7154,No Failure
1108,No Failure
5754,No Failure
7020,No Failure
4094,No Failure
1552,No Failure
8607,No Failure
3913,No Failure
5295,No Failure
931,No Failure
130,No Failure
9041,No Failure
3420,No Failure
4347,No Failure
8329,No Failure
1288,No Failure
9931,No Failure
6441,No Failure
5052,No Failure
7960,No Failure
5127,No Failure
4137,No Failure
3481,No Failure
9585,No Failure
9976,No Failure
2828,No Failure
6088,No Failure
7696,No Failure
1580,No Failure
1571,No Failure
7750,No Failure
4831,No Failure
6951,No Failure
8367,No Failure
1799,No Failure
4199,No Failure
8046,No Failure
9150,No Failure
4538,No Failure
8352,No Failure
589,No Failure
3132,No Failure
2208,No Failure
2383,No Failure
6131,No Failure
4467,No Failure
5117,No Failure
6584,No Failure
1713,No Failure
2863,No Failure
5059,No Failure
5864,No Failure
9241,No Failure
9917,No Failure
3643,No Failure
7143,No Failure
62,No Failure
7385,No Failure
6687,No Failure
6700,No Failure
2850,No Failure
8670,No Failure
1140,No Failure
5280,No Failure
2515,No Failure
4399,No Failure
6145,No Failure
6481,No Failure
1513,No Failure
9709,No Failure
7401,No Failure
1762,No Failure
5478,No Failure
8480,No Failure
636,No Failure
1963,No Failure
400,No Failure
2893,No Failure
5907,No Failure
504,No Failure
712,No Failure
1506,No Failure
8653,No Failure
8706,No Failure
8964,No Failure
3990,No Failure
5164,No Failure
7269,No Failure
9580,No Failure
3199,No Failure
3772,No Failure
9913,No Failure
4381,Overstrain Failure
5981,No Failure
5228,No Failure
7305,No Failure
4027,No Failure
5424,No Failure
1413,No Failure
8772,No Failure
8611,No Failure
4654,No Failure
7183,No Failure
3257,No Failure
1832,No Failure
9949,No Failure
3885,No Failure
4462,No Failure
2823,No Failure
2927,No Failure
9262,No Failure
2594,No Failure
8668,No Failure
8004,No Failure
7569,No Failure
3680,No Failure
2072,No Failure
9639,No Failure
7962,No Failure
7860,No Failure
6627,No Failure
8040,No Failure
1018,No Failure
2861,Overstrain Failure
6717,No Failure
2817,No Failure
7253,No Failure
1948,No Failure
8280,No Failure
4438,No Failure
5959,No Failure
7684,No Failure
454,No Failure
8731,No Failure
1593,No Failure
1775,No Failure
7803,No Failure
3061,No Failure
8766,No Failure
5810,No Failure
9014,No Failure
9658,No Failure
8301,No Failure
3127,No Failure
4958,No Failure
9445,No Failure
8861,No Failure
1175,No Failure
6602,No Failure
7343,No Failure
5056,No Failure
654,No Failure
6264,No Failure
6775,No Failure
9787,No Failure
462,No Failure
9292,No Failure
9688,No Failure
5388,No Failure
5492,No Failure
9965,No Failure
6671,No Failure
9746,No Failure
6379,No Failure
7676,No Failure
138,No Failure
9010,No Failure
576,No Failure
3714,No Failure
2874,No Failure
5404,No Failure
8036,No Failure
7708,No Failure
2955,No Failure
1295,No Failure
4861,No Failure
2066,No Failure
7057,No Failure
861,No Failure
3151,No Failure
5601,No Failure
4091,No Failure
3588,No Failure
8215,No Failure
3974,No Failure
8514,No Failure
9293,No Failure
6525,No Failure
5940,No Failure
5201,No Failure
9039,No Failure
1605,No Failure
8833,No Failure
7638,No Failure
6075,No Failure
445,No Failure
6191,No Failure
3343,No Failure
3783,No Failure
4637,No Failure
3290,No Failure
3429,No Failure
2381,No Failure
8790,No Failure
4615,No Failure
5324,No Failure
295,No Failure
1025,No Failure
5689,No Failure
8118,No Failure
7554,No Failure
8748,No Failure
7649,No Failure
2327,No Failure
5714,No Failure
3218,No Failure
2403,No Failure
5161,No Failure
6916,No Failure
6408,No Failure
7212,No Failure
2449,No Failure
5921,No Failure
5426,No Failure
9678,No Failure
3748,No Failure
7936,No Failure
4022,No Failure
2044,No Failure
3817,No Failure
3848,No Failure
8811,No Failure
4058,No Failure
312,No Failure
7654,No Failure
1369,No Failure
4886,No Failure
2386,No Failure
7680,No Failure
6788,No Failure
5405,No Failure
363,No Failure
4565,No Failure
177,No Failure
1433,No Failure
2142,No Failure
3173,No Failure
987,No Failure
4889,No Failure
8336,No Failure
9946,No Failure
2141,No Failure
7628,No Failure
8394,No Failure
8757,No Failure
7811,No Failure
8165,No Failure
5156,No Failure
3646,No Failure
2157,No Failure
6596,No Failure
3230,No Failure
9801,No Failure
7158,No Failure
6002,No Failure
8510,No Failure
7880,No Failure
9442,No Failure
1491,No Failure
460,No Failure
3574,No Failure
8883,No Failure
1951,No Failure
2325,No Failure
737,No Failure
1591,No Failure
4933,No Failure
5437,No Failure
4198,No Failure
15,No Failure
5719,No Failure
7695,No Failure
9062,No Failure
3847,No Failure
1043,No Failure
1388,No Failure
4300,No Failure
3062,No Failure
7140,No Failure
1087,No Failure
8225,No Failure
8697,No Failure
2510,No Failure
2484,No Failure
6136,No Failure
8072,No Failure
5468,No Failure
1537,No Failure
1372,No Failure
9153,No Failure
7834,No Failure
2535,No Failure
641,No Failure
8544,No Failure
8590,No Failure
7368,No Failure
778,No Failure
6015,No Failure
50,No Failure
4915,No Failure
7937,No Failure
6097,No Failure
4855,No Failure
8491,No Failure
3268,No Failure
2860,No Failure
2882,No Failure
7921,No Failure
1532,No Failure
773,No Failure
410,No Failure
9968,No Failure
1451,No Failure
7872,No Failure
1248,No Failure
4169,No Failure
7251,No Failure
1645,No Failure
4112,No Failure
7632,No Failure
3533,No Failure
483,No Failure
3047,No Failure
3287,No Failure
2653,No Failure
3770,No Failure
9111,No Failure
4585,No Failure
9986,No Failure
8709,No Failure
8708,No Failure
8229,No Failure
4790,No Failure
6530,No Failure
4298,No Failure
5513,No Failure
2831,No Failure
879,No Failure
7180,No Failure
5599,No Failure
2686,No Failure
2159,No Failure
706,No Failure
7650,No Failure
6299,No Failure
6358,No Failure
9683,No Failure
977,No Failure
1255,No Failure
7580,No Failure
3666,No Failure
9555,No Failure
3655,No Failure
6022,No Failure
7835,No Failure
9233,No Failure
9400,No Failure
3712,No Failure
4899,Overstrain Failure
4639,No Failure
7171,No Failure
8892,No Failure
8223,No Failure
8551,No Failure
3194,No Failure
8902,No Failure
6990,No Failure
8650,No Failure
3820,No Failure
1072,No Failure
9531,No Failure
2868,No Failure
472,No Failure
9923,No Failure
8260,No Failure
9121,No Failure
1209,No Failure
4232,No Failure
3980,No Failure
4110,No Failure
4517,No Failure
6161,No Failure
1219,No Failure
7127,No Failure
91,No Failure
9898,No Failure
8566,No Failure
1957,No Failure
9283,No Failure
502,No Failure
3088,No Failure
2181,No Failure
2559,No Failure
2103,No Failure
757,No Failure
9018,No Failure
6220,No Failure
6557,No Failure
5244,No Failure
7260,No Failure
1908,No Failure
4810,No Failure
740,No Failure
393,No Failure
8503,No Failure
1658,No Failure
4142,No Failure
4294,No Failure
5759,No Failure
8711,No Failure
7853,No Failure
2344,No Failure
584,No Failure
9813,No Failure
3208,No Failure
1064,No Failure
6629,No Failure
2631,No Failure
6783,No Failure
1742,No Failure
8710,No Failure
2444,No Failure
9222,No Failure
5403,No Failure
5040,No Failure
6987,No Failure
2039,No Failure
7581,No Failure
214,No Failure
5613,No Failure
3618,No Failure
4755,No Failure
9429,No Failure
5152,No Failure
4240,No Failure
2184,No Failure
2010,No Failure
5690,No Failure
3205,No Failure
1479,No Failure
8899,No Failure
501,No Failure
1738,No Failure
8176,No Failure
9383,No Failure
2340,No Failure
8908,No Failure
2276,No Failure
5387,No Failure
1800,No Failure
1306,No Failure
3754,No Failure
1912,No Failure
5611,No Failure
7045,No Failure
6899,No Failure
5003,No Failure
6502,No Failure
1258,No Failure
8632,No Failure
5520,No Failure
2437,No Failure
3503,No Failure
2328,No Failure
3438,No Failure
6957,No Failure
5631,No Failure
8934,No Failure
3388,No Failure
832,No Failure
7974,No Failure
1609,No Failure
9164,No Failure
700,No Failure
9054,No Failure
427,No Failure
8485,No Failure
8802,No Failure
3513,No Failure
6343,No Failure
9334,No Failure
2409,No Failure
835,No Failure
5984,No Failure
6169,No Failure
1501,No Failure
5051,No Failure
9461,No Failure
1534,No Failure
8548,No Failure
3521,No Failure
1151,No Failure
8781,No Failure
7215,No Failure
9486,No Failure
6444,No Failure
5446,No Failure
8022,No Failure
6594,No Failure
7873,No Failure
9338,No Failure
9571,No Failure
1975,No Failure
5896,No Failure
6764,No Failure
2368,No Failure
8920,No Failure
6026,No Failure
4348,No Failure
3787,No Failure
5789,No Failure
7131,No Failure
4931,No Failure
4148,No Failure
7297,No Failure
1864,No Failure
8379,No Failure
9432,No Failure
1852,No Failure
5251,No Failure
6039,No Failure
2222,No Failure
417,No Failure
1223,No Failure
5101,No Failure
1652,No Failure
810,No Failure
3732,No Failure
797,No Failure
7809,No Failure
8347,No Failure
5368,No Failure
989,No Failure
9197,No Failure
9260,No Failure
5293,No Failure
261,No Failure
5248,No Failure
3235,No Failure
6301,No Failure
5202,No Failure
3746,No Failure
6293,No Failure
8281,No Failure
2191,No Failure
6440,No Failure
2336,No Failure
4019,No Failure
3129,No Failure
5429,No Failure
4561,No Failure
6254,No Failure
2228,No Failure
5900,No Failure
2306,No Failure
5998,No Failure
4355,No Failure
5224,No Failure
3349,No Failure
3431,No Failure
1607,No Failure
4178,No Failure
9240,No Failure
6479,No Failure
7533,No Failure
6582,No Failure
833,No Failure
9088,No Failure
1348,No Failure
7797,No Failure
3526,No Failure
3502,No Failure
3809,No Failure
4530,No Failure
6009,No Failure
4338,No Failure
3512,No Failure
4041,No Failure
2592,No Failure
3489,No Failure
2959,No Failure
7795,No Failure
3507,No Failure
7014,No Failure
9423,No Failure
7828,No Failure
8164,No Failure
6971,No Failure
7969,No Failure
5756,No Failure
2738,No Failure
2453,No Failure
4659,No Failure
4403,No Failure
5790,No Failure
1673,No Failure
5054,No Failure
4474,No Failure
7798,No Failure
8578,No Failure
1317,No Failure
6232,No Failure
8262,No Failure
9945,No Failure
818,No Failure
2382,No Failure
8818,No Failure
71,No Failure
1267,No Failure
1578,No Failure
9213,No Failure
1681,No Failure
3967,No Failure
1326,No Failure
1366,No Failure
3677,No Failure
9718,No Failure
1091,No Failure
2457,No Failure
8808,No Failure
6834,No Failure
5679,No Failure
9507,No Failure
9274,No Failure
4020,No Failure
656,No Failure
1772,No Failure
3111,No Failure
6290,No Failure
5657,No Failure
1751,No Failure
75,No Failure
5661,No Failure
1928,No Failure
1543,No Failure
3615,No Failure
8219,No Failure
3505,No Failure
5339,No Failure
6380,No Failure
1964,No Failure
2129,No Failure
2241,No Failure
3667,No Failure
6714,No Failure
6389,No Failure
2593,No Failure
171,No Failure
5841,No Failure
2097,No Failure
9624,No Failure
5267,No Failure
3251,No Failure
9859,No Failure
5139,No Failure
3206,No Failure
9780,No Failure
3586,No Failure
3722,No Failure
1815,No Failure
2346,No Failure
6149,No Failure
2707,No Failure
5849,No Failure
5793,No Failure
1310,No Failure
5372,No Failure
210,No Failure
3443,No Failure
2902,No Failure
4529,No Failure
9505,No Failure
8906,No Failure
9649,No Failure
2899,No Failure
285,No Failure
6352,No Failure
3080,No Failure
9157,No Failure
1005,No Failure
9602,No Failure
8283,No Failure
457,No Failure
8683,No Failure
7086,No Failure
4231,No Failure
8954,No Failure
6042,No Failure
352,No Failure
399,No Failure
3450,No Failure
1190,No Failure
4307,No Failure
217,No Failure
3605,No Failure
9060,No Failure
7914,No Failure
7609,No Failure
3048,No Failure
3883,No Failure
9194,No Failure
6340,No Failure
321,No Failure
186,No Failure
5565,No Failure
3090,No Failure
6271,No Failure
1839,No Failure
2258,No Failure
529,No Failure
4578,No Failure
4843,No Failure
7216,No Failure
5208,No Failure
2800,No Failure
5653,No Failure
3802,No Failure
2351,No Failure
1862,No Failure
3731,No Failure
822,No Failure
7849,No Failure
10,No Failure
9955,No Failure
6973,No Failure
5218,No Failure
4761,No Failure
4743,No Failure
6122,No Failure
3880,No Failure
2240,No Failure
1909,No Failure
5470,No Failure
8929,No Failure
5769,No Failure
548,No Failure
6940,No Failure
5833,No Failure
5711,No Failure
9984,No Failure
1176,No Failure
390,No Failure
8769,No Failure
216,No Failure
3905,No Failure
7482,No Failure
3520,No Failure
9657,No Failure
7932,No Failure
9552,No Failure
3102,No Failure
7668,No Failure
937,No Failure
5453,No Failure
8252,No Failure
6956,No Failure
2492,No Failure
1438,No Failure
3707,No Failure
758,No Failure
1456,No Failure
5835,No Failure
5709,No Failure
9702,No Failure
3943,No Failure
6261,No Failure
6158,No Failure
5762,No Failure
4256,No Failure
3979,No Failure
1665,No Failure
9513,No Failure
6585,No Failure
9337,No Failure
1027,No Failure
4012,No Failure
3803,No Failure
8366,No Failure
4945,No Failure
814,No Failure
4604,No Failure
2668,No Failure
9339,No Failure
4007,No Failure
8424,No Failure
4914,No Failure
9444,No Failure
9621,No Failure
955,No Failure
7437,No Failure
5409,No Failure
3407,No Failure
6758,No Failure
6556,No Failure
4543,No Failure
9296,No Failure
2550,No Failure
282,No Failure
3553,No Failure
6218,No Failure
9253,No Failure
6738,No Failure
6927,No Failure
9903,No Failure
1076,No Failure
1321,No Failure
7218,No Failure
4209,No Failure
759,No Failure
5639,No Failure
1307,No Failure
7470,No Failure
8664,No Failure
7555,No Failure
8103,No Failure
7844,No Failure
509,No Failure
738,No Failure
9068,No Failure
2153,No Failure
2096,No Failure
9503,No Failure
5084,No Failure
5522,No Failure
8445,No Failure
8197,No Failure
8441,No Failure
6197,No Failure
2056,No Failure
9929,No Failure
852,No Failure
3534,No Failure
2273,No Failure
8831,No Failure
2384,No Failure
6726,No Failure
9468,No Failure
913,No Failure
7303,No Failure
665,No Failure
7724,No Failure
7971,No Failure
5905,No Failure
7924,No Failure
8882,No Failure
6400,No Failure
376,No Failure
3484,No Failure
2296,No Failure
2976,No Failure
1139,No Failure
103,No Failure
2174,No Failure
527,No Failure
9378,No Failure
3225,No Failure
3134,No Failure
4074,No Failure
173,No Failure
2069,No Failure
601,No Failure
6469,No Failure
8275,No Failure
2323,No Failure
106,No Failure
9833,No Failure
1059,No Failure
678,No Failure
5831,No Failure
5045,No Failure
2061,No Failure
1411,No Failure
5574,No Failure
1980,No Failure
6482,No Failure
704,No Failure
6334,No Failure
6455,No Failure
4130,No Failure
7584,No Failure
9306,No Failure
9536,No Failure
5897,No Failure
435,No Failure
9850,No Failure
9193,No Failure
8216,No Failure
5625,No Failure
1796,No Failure
5365,No Failure
2305,No Failure
8025,No Failure
6963,No Failure
1119,No Failure
8211,No Failure
4314,No Failure
6117,No Failure
7142,No Failure
1663,No Failure
5021,No Failure
3058,No Failure
1617,No Failure
7388,No Failure
8066,No Failure
5167,No Failure
461,No Failure
9131,No Failure
5551,No Failure
781,No Failure
7195,No Failure
6409,No Failure
8819,No Failure
8946,No Failure
4681,No Failure
9640,No Failure
9797,No Failure
3045,No Failure
3224,No Failure
5843,No Failure
3991,No Failure
7223,No Failure
890,No Failure
7583,No Failure
375,No Failure
1362,No Failure
9307,No Failure
7689,No Failure
1265,No Failure
996,No Failure
4791,No Failure
7682,No Failure
5915,No Failure
2529,No Failure
1418,No Failure
1225,No Failure
998,No Failure
6890,No Failure
7588,No Failure
2590,No Failure
3861,No Failure
6522,No Failure
1631,No Failure
6093,No Failure
5130,No Failure
2254,No Failure
6882,No Failure
3123,No Failure
3804,No Failure
3641,No Failure
847,No Failure
2105,No Failure
4087,No Failure
7273,No Failure
6568,No Failure
6427,No Failure
9760,No Failure
8825,No Failure
6328,No Failure
3136,No Failure
6870,No Failure
4373,No Failure
3202,No Failure
6499,No Failure
4804,No Failure
5088,No Failure
6120,No Failure
8506,No Failure
3608,No Failure
3874,No Failure
401,No Failure
3522,No Failure
9020,No Failure
6759,No Failure
8944,No Failure
8770,No Failure
8658,No Failure
111,No Failure
7792,No Failure
9535,No Failure
7038,No Failure
4376,No Failure
4785,No Failure
1879,No Failure
3987,No Failure
5073,No Failure
143,No Failure
9914,No Failure
8289,No Failure
5105,No Failure
4938,No Failure
6861,No Failure
5825,No Failure
7488,No Failure
6654,No Failure
2540,No Failure
6053,No Failure
8520,No Failure
7219,No Failure
7433,No Failure
7759,No Failure
2219,No Failure
556,No Failure
8413,No Failure
5829,No Failure
1173,No Failure
761,No Failure
6580,No Failure
9137,No Failure
649,No Failure
3028,No Failure
4980,No Failure
7556,No Failure
2047,No Failure
6205,No Failure
6737,No Failure
7346,No Failure
9393,No Failure
3909,No Failure
3617,No Failure
1065,No Failure
1574,No Failure
4536,No Failure
5949,No Failure
1058,No Failure
1220,No Failure
1568,No Failure
9355,No Failure
3928,No Failure
222,No Failure
707,No Failure
4877,No Failure
7619,No Failure
2967,No Failure
588,No Failure
6974,No Failure
6492,No Failure
9067,No Failure
2318,No Failure
2040,No Failure
3462,No Failure
484,No Failure
6798,No Failure
2764,No Failure
5780,No Failure
207,No Failure
1429,No Failure
2736,No Failure
4482,No Failure
3607,No Failure
4835,No Failure
8407,No Failure
6247,No Failure
1592,No Failure
3095,No Failure
187,No Failure
1544,No Failure
6787,No Failure
6183,No Failure
1051,No Failure
6181,No Failure
2716,No Failure
3910,No Failure
1545,No Failure
627,No Failure
5454,No Failure
8916,No Failure
6885,No Failure
124,No Failure
2322,No Failure
3383,No Failure
7135,No Failure
1245,No Failure
7132,No Failure
2834,No Failure
4412,No Failure
1817,No Failure
2554,No Failure
6578,No Failure
5976,No Failure
8571,No Failure
9591,No Failure
9770,No Failure
6074,No Failure
6751,No Failure
7509,No Failure
2747,No Failure
570,No Failure
9449,No Failure
322,No Failure
2111,No Failure
9145,No Failure
8331,No Failure
5351,No Failure
3500,No Failure
1603,No Failure
9581,No Failure
5856,No Failure
1408,No Failure
3301,No Failure
3213,No Failure
724,No Failure
9849,No Failure
663,No Failure
4435,No Failure
1727,No Failure
147,No Failure
1365,No Failure
4554,No Failure
5590,No Failure
3430,No Failure
1235,No Failure
5007,No Failure
3137,No Failure
7697,No Failure
8721,No Failure
8137,No Failure
9534,No Failure
2418,No Failure
9674,No Failure
8444,No Failure
8832,No Failure
6365,No Failure
6797,No Failure
1682,No Failure
2391,No Failure
9789,No Failure
219,No Failure
5541,No Failure
622,No Failure
8324,No Failure
7166,No Failure
9495,No Failure
6312,No Failure
9726,No Failure
4895,No Failure
4181,No Failure
6710,No Failure
6631,No Failure
1868,No Failure
531,No Failure
3109,No Failure
7911,No Failure
1517,No Failure
2102,No Failure
767,No Failure
2723,No Failure
2663,No Failure
6045,No Failure
3034,No Failure
6720,No Failure
7870,No Failure
7981,No Failure
6807,No Failure
4716,No Failure
3486,No Failure
8869,No Failure
6622,No Failure
5592,No Failure
6155,No Failure
4893,No Failure
5583,No Failure
9798,No Failure
6878,No Failure
2297,No Failure
3793,No Failure
1744,No Failure
3501,No Failure
371,No Failure
4344,No Failure
5118,No Failure
9358,No Failure
8455,No Failure
6230,No Failure
8190,No Failure
4085,No Failure
8637,No Failure
3422,No Failure
3482,No Failure
3999,No Failure
8629,No Failure
4215,No Failure
6666,No Failure
9147,No Failure
7560,No Failure
5696,No Failure
4569,No Failure
9318,No Failure
3067,No Failure
3511,No Failure
3387,No Failure
7358,No Failure
6960,No Failure
2090,No Failure
5596,No Failure
8051,No Failure
549,No Failure
3436,No Failure
3081,No Failure
9616,No Failure
4906,No Failure
2213,No Failure
8304,No Failure
9322,No Failure
9376,No Failure
9458,No Failure
1590,No Failure
3988,No Failure
5604,No Failure
9879,No Failure
4522,No Failure
5428,No Failure
1610,No Failure
8979,No Failure
6028,No Failure
7923,No Failure
8724,No Failure
8776,No Failure
360,No Failure
1110,No Failure
3690,No Failure
8623,No Failure
5997,No Failure
4172,No Failure
851,No Failure
9806,No Failure
2450,No Failure
3217,No Failure
2331,No Failure
843,No Failure
3765,No Failure
1318,No Failure
659,No Failure
6590,No Failure
5303,No Failure
4994,No Failure
6425,No Failure
2775,No Failure
9604,No Failure
554,No Failure
2949,No Failure
4677,No Failure
436,No Failure
9842,No Failure
229,No Failure
6490,No Failure
9729,No Failure
3590,No Failure
4981,No Failure
721,No Failure
6020,No Failure
3675,No Failure
6591,No Failure
8773,No Failure
5141,No Failure
4497,No Failure
6920,No Failure
4048,No Failure
748,No Failure
864,No Failure
7080,No Failure
6463,No Failure
6858,No Failure
6058,No Failure
4869,No Failure
3525,No Failure
1097,No Failure
9136,No Failure
9483,No Failure
4014,No Failure
6035,No Failure
3160,No Failure
1915,No Failure
4377,No Failure
6713,No Failure
8414,No Failure
6763,No Failure
7854,No Failure
826,No Failure
2071,No Failure
8621,No Failure
1627,No Failure
2164,No Failure
2155,No Failure
382,No Failure
3478,No Failure
6617,No Failure
3973,No Failure
2156,No Failure
139,No Failure
4472,No Failure
7468,No Failure
1099,No Failure
5194,No Failure
142,No Failure
8715,No Failure
4456,No Failure
5916,No Failure
869,No Failure
8565,No Failure
3539,No Failure
9377,No Failure
8267,No Failure
5065,No Failure
212,No Failure
7451,No Failure
7318,No Failure
101,No Failure
6284,No Failure
7656,No Failure
4434,No Failure
4330,No Failure
4679,No Failure
552,No Failure
2205,No Failure
8097,No Failure
7349,No Failure
8010,No Failure
3138,No Failure
4991,No Failure
7374,No Failure
7736,No Failure
2271,No Failure
9454,No Failure
3523,No Failure
5455,No Failure
9956,No Failure
412,No Failure
9771,No Failure
905,No Failure
1945,No Failure
1128,No Failure
8082,No Failure
3647,No Failure
4975,No Failure
4454,No Failure
1345,No Failure
4751,No Failure
2988,No Failure
4671,No Failure
1328,No Failure
7577,No Failure
3,No Failure
7483,No Failure
6571,No Failure
6855,No Failure
2110,No Failure
9071,No Failure
1770,No Failure
3355,No Failure
2432,No Failure
5498,No Failure
6531,No Failure
6280,No Failure
4034,No Failure
1788,No Failure
4747,No Failure
9022,No Failure
1884,No Failure
5753,No Failure
9791,No Failure
8083,No Failure
7146,No Failure
8519,No Failure
9653,No Failure
7513,No Failure
8680,No Failure
6056,No Failure
4379,No Failure
6634,No Failure
2009,No Failure
8155,No Failure
8948,No Failure
6105,No Failure
5799,No Failure
2709,No Failure
7558,No Failure
3107,No Failure
573,No Failure
6424,No Failure
8534,No Failure
5797,No Failure
8032,No Failure
6324,No Failure
3828,No Failure
1278,No Failure
4452,No Failure
9061,No Failure
8462,No Failure
9762,No Failure
9471,No Failure
9159,No Failure
5828,No Failure
4986,No Failure
3841,No Failure
3072,No Failure
6611,No Failure
7160,No Failure
3404,No Failure
7224,No Failure
7975,No Failure
2225,No Failure
8530,No Failure
1427,No Failure
3957,No Failure
3800,No Failure
8038,No Failure
4753,No Failure
5217,No Failure
874,No Failure
6507,No Failure
936,No Failure
123,No Failure
3348,No Failure
2962,No Failure
4177,No Failure
6754,No Failure
6874,No Failure
5396,No Failure
1613,No Failure
6851,No Failure
8033,No Failure
1419,No Failure
1756,No Failure
2026,No Failure
7765,No Failure
1773,No Failure
5732,No Failure
2233,No Failure
2912,No Failure
349,No Failure
1472,No Failure
7653,No Failure
7002,No Failure
1101,No Failure
8857,No Failure
5726,No Failure
886,No Failure
8969,No Failure
2995,No Failure
20,No Failure
4558,No Failure
4370,No Failure
7419,No Failure
4236,No Failure
3888,No Failure
1015,No Failure
1439,No Failure
5144,No Failure
7521,No Failure
903,No Failure
1476,No Failure
3578,No Failure
5902,No Failure
8603,No Failure
3265,No Failure
8836,No Failure
5708,No Failure
6435,No Failure
5763,No Failure
7891,No Failure
3050,No Failure
7615,No Failure
7966,No Failure
6504,No Failure
2209,No Failure
6936,No Failure
2999,No Failure
2947,No Failure
4235,No Failure
7228,No Failure
3258,No Failure
4155,No Failure
1205,No Failure
3932,No Failure
1081,No Failure
9900,No Failure
5913,No Failure
4675,No Failure
1251,No Failure
5308,No Failure
1890,No Failure
6385,No Failure
5158,No Failure
5930,No Failure
3626,No Failure
3983,No Failure
6163,No Failure
8156,No Failure
4924,No Failure
6829,No Failure
1650,No Failure
5879,No Failure
660,No Failure
9708,No Failure
9684,No Failure
441,No Failure
1639,No Failure
77,No Failure
6497,No Failure
4963,No Failure
5608,No Failure
5838,No Failure
6510,No Failure
6454,No Failure
2685,No Failure
9542,No Failure
6520,No Failure
742,No Failure
1233,No Failure
1618,No Failure
8128,No Failure
6718,No Failure
5107,No Failure
3377,No Failure
2104,No Failure
862,No Failure
4827,No Failure
1654,No Failure
7114,No Failure
3536,No Failure
317,No Failure
9372,No Failure
7694,No Failure
7279,No Failure
4176,No Failure
7731,No Failure
1485,No Failure
1651,No Failure
7908,No Failure
7213,No Failure
9808,No Failure
3241,No Failure
8981,No Failure
8450,No Failure
3162,No Failure
2189,No Failure
4995,No Failure
9736,No Failure
1861,No Failure
4116,No Failure
6761,No Failure
3248,No Failure
14,No Failure
6762,No Failure
5091,No Failure
2021,No Failure
1465,No Failure
9570,No Failure
8646,No Failure
9196,No Failure
7181,No Failure
2542,No Failure
3347,No Failure
3149,No Failure
6251,No Failure
3183,No Failure
9093,No Failure
9634,No Failure
8472,No Failure
21,No Failure
5509,No Failure
8091,No Failure
6934,No Failure
5725,No Failure
6721,No Failure
6748,No Failure
834,No Failure
9380,No Failure
7785,No Failure
3084,No Failure
3573,No Failure
4574,No Failure
288,No Failure
8820,No Failure
9844,No Failure
6171,No Failure
8685,No Failure
6906,No Failure
5338,No Failure
1498,No Failure
4692,No Failure
8163,No Failure
203,No Failure
9352,No Failure
5818,No Failure
4955,No Failure
7497,No Failure
8779,No Failure
6347,No Failure
6745,No Failure
4846,No Failure
3005,No Failure
5874,No Failure
3078,No Failure
5953,No Failure
2004,No Failure
4443,No Failure
3664,No Failure
2974,No Failure
9755,No Failure
6589,No Failure
8364,No Failure
7097,No Failure
518,No Failure
9916,No Failure
4473,No Failure
6653,No Failure
9082,No Failure
850,No Failure
2769,No Failure
5650,No Failure
76,No Failure
1383,No Failure
8062,No Failure
1055,No Failure
1844,No Failure
7423,No Failure
2727,No Failure
551,No Failure
9312,No Failure
